City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Yazoo City,US,32.8551,-90.4056,80.6,33,1,6.08,clear sky
189,Ahipara,NZ,-35.1667,173.1667,69.03,69,100,11.95,light rain
190,Auch,FR,43.65,0.5833,48.0,69,100,5.99,overcast clouds
191,Acapulco,MX,16.8634,-99.8901,84.2,65,40,10.36,scattered clouds
192,Sabang,ID,5.8933,95.3214,81.99,71,46,2.24,scattered clouds
193,Castro,BR,-24.7911,-50.0119,60.48,94,83,7.47,broken clouds
194,Xining,CN,36.6167,101.7667,39.85,83,100,2.06,overcast clouds
195,Beinamar,TD,8.6698,15.3813,84.31,24,71,5.53,broken clouds
196,Georgetown,MY,5.4112,100.3354,80.01,88,20,4.72,few clouds
197,Leh,IN,34.1667,77.5833,27.18,46,74,4.72,broken clouds
198,Rabo De Peixe,PT,37.8,-25.5833,59.0,88,75,19.57,broken clouds
199,Saskylakh,RU,71.9167,114.0833,-12.33,99,100,6.51,overcast clouds
200,Coihaique,CL,-45.5752,-72.0662,50.0,87,75,6.91,broken clouds
201,Bhola,BD,22.6833,90.65,75.54,89,1,5.21,clear sky
202,Ubinskoye,RU,55.3068,79.6802,31.57,86,100,8.14,overcast clouds
203,Champerico,GT,14.3,-91.9167,86.0,74,75,9.22,broken clouds
204,Synya,RU,65.3718,58.0387,36.14,85,57,8.88,broken clouds
205,Airai,TL,-8.9266,125.4092,66.83,75,86,1.59,overcast clouds
206,Ambulu,ID,-8.345,113.6058,78.6,78,98,2.82,overcast clouds
207,Nuevo Progreso,MX,23.1667,-97.95,79.0,70,14,1.99,few clouds
208,Kinsale,IE,51.7075,-8.5306,43.0,93,40,9.22,scattered clouds
209,Tommot,RU,58.9564,126.2925,34.68,79,100,5.68,overcast clouds
210,Klaksvik,FO,62.2266,-6.589,26.6,80,75,25.32,light snow
211,Morgan City,US,29.6994,-91.2068,77.0,78,40,6.91,scattered clouds
212,Jibuti,DJ,11.5,42.5,77.0,78,1,9.86,clear sky
213,Najran,SA,17.4924,44.1277,66.2,20,0,1.81,clear sky
214,Greenwood,US,34.1668,-82.1165,73.4,49,90,6.91,overcast clouds
215,Shushtar,IR,32.0455,48.8567,79.9,17,82,6.78,broken clouds
216,Asfi,MA,32.2994,-9.2372,59.45,82,6,8.59,clear sky
217,Hofn,IS,64.2539,-15.2082,24.87,54,100,19.95,overcast clouds
218,Buala,SB,-8.145,159.5921,76.66,88,100,5.84,light rain
219,Clovis,US,36.8252,-119.7029,77.0,23,20,3.44,few clouds
220,Solok,ID,-0.7918,100.6593,75.2,100,20,2.3,few clouds
221,Deputatskiy,RU,69.3,139.9,-4.16,94,70,2.95,broken clouds
222,Chase,CA,50.8165,-119.6857,51.01,25,73,4.61,broken clouds
223,Sitka,US,57.0531,-135.33,35.6,93,90,16.11,moderate rain
224,Staicele,LV,57.8364,24.75,33.01,86,72,5.99,broken clouds
225,Challans,FR,46.8436,-1.8749,44.6,57,0,7.11,clear sky
226,San Antonio,US,29.4241,-98.4936,93.2,26,1,5.75,clear sky
227,Norman Wells,CA,65.282,-126.8329,15.8,45,40,16.11,scattered clouds
228,Grindavik,IS,63.8424,-22.4338,21.2,63,20,20.71,few clouds
229,Kavieng,PG,-2.5744,150.7967,80.35,83,100,11.1,moderate rain
230,San Quintin,MX,30.4833,-115.95,65.53,63,1,19.33,clear sky
231,Ovalle,CL,-30.5983,-71.2003,68.61,45,0,2.86,clear sky
232,Gizo,SB,-8.103,156.8419,82.11,80,100,15.32,moderate rain
233,Maniitsoq,GL,65.4167,-52.9,31.87,98,100,34.54,snow
234,Floriano,BR,-6.7669,-43.0225,82.31,58,91,2.28,overcast clouds
235,Jardim,BR,-21.4803,-56.1381,79.54,51,74,2.42,broken clouds
236,Lieksa,FI,63.3167,30.0167,25.03,89,10,7.18,clear sky
237,Fortuna,US,40.5982,-124.1573,57.0,71,75,17.27,broken clouds
238,Pacific Grove,US,36.6177,-121.9166,60.8,55,1,11.5,clear sky
239,Chuy,UY,-33.6971,-53.4616,71.62,78,100,9.89,overcast clouds
240,Lavrentiya,RU,65.5833,-171.0,-4.31,78,4,1.74,clear sky
241,Campbell River,CA,50.0163,-125.2446,51.01,43,75,6.91,broken clouds
242,Daru,PG,-9.0763,143.2092,79.99,84,100,7.7,moderate rain
243,Nicoya,CR,10.1483,-85.452,71.6,88,75,11.5,heavy intensity rain
244,Verkh-Chebula,RU,56.0308,87.6218,27.84,96,60,4.27,broken clouds
245,Severo-Kurilsk,RU,50.6789,156.125,32.0,96,100,12.8,snow
246,Wajima,JP,37.4,136.9,44.6,61,20,4.61,few clouds
247,Khatanga,RU,71.9667,102.5,-10.61,99,100,4.32,overcast clouds
248,Ketchikan,US,55.3422,-131.6461,35.92,97,100,21.36,snow
249,Hobyo,SO,5.3505,48.5268,80.65,73,16,9.73,few clouds
250,Nokaneng,BW,-19.6667,22.2667,66.97,36,0,6.76,clear sky
251,Hirara,JP,24.8,125.2833,71.6,68,75,9.22,broken clouds
252,Shiloh,US,38.5614,-89.8973,53.6,94,75,9.22,light rain
253,Lebu,CL,-37.6167,-73.65,54.54,88,3,1.74,clear sky
254,Santa Fe,AR,-31.6333,-60.7,82.0,75,100,1.99,overcast clouds
255,Ucluelet,CA,48.9329,-125.5528,50.0,57,40,19.57,scattered clouds
256,Plettenberg Bay,ZA,-34.0527,23.3716,60.96,85,7,3.85,clear sky
