City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Marawi,PH,2021-04-08 00:39:58,7.9986,124.2928,82.0,82,61,3.0
146,Kautokeino,NO,2021-04-08 00:39:59,69.0125,23.0412,19.51,94,100,5.64
147,Antsohihy,MG,2021-04-08 00:39:59,-14.8796,47.9875,71.01,92,77,4.18
148,Novoagansk,RU,2021-04-08 00:40:00,61.9449,76.6625,31.87,98,100,3.02
149,Tocopilla,CL,2021-04-08 00:40:00,-22.092,-70.1979,70.52,72,36,10.51
150,Coquimbo,CL,2021-04-08 00:35:13,-29.9533,-71.3436,60.8,88,90,5.75
151,Chokwe,MZ,2021-04-08 00:40:00,-24.5333,32.9833,67.69,95,70,3.65
152,Nigde,TR,2021-04-08 00:40:01,37.8333,34.75,44.78,58,0,7.16
153,Zhigansk,RU,2021-04-08 00:33:47,66.7697,123.3711,10.35,89,100,22.62
154,Alta Floresta,BR,2021-04-08 00:40:03,-9.8756,-56.0861,71.42,93,91,2.33
155,Bredasdorp,ZA,2021-04-08 00:32:38,-34.5322,20.0403,55.4,94,78,1.14
156,Padang,ID,2021-04-08 00:40:03,-0.9492,100.3543,75.2,100,40,2.3
157,Follonica,IT,2021-04-08 00:40:04,42.9263,10.7616,35.01,58,0,4.79
158,Sao Francisco Do Sul,BR,2021-04-08 00:39:12,-26.2433,-48.6381,69.8,100,75,5.61
159,Longhua,CN,2021-04-08 00:40:04,23.6137,114.1919,70.32,83,100,0.83
160,Faya,SA,2021-04-08 00:35:13,18.3851,42.4509,62.6,59,0,4.14
161,Rocha,UY,2021-04-08 00:35:21,-34.4833,-54.3333,66.96,92,5,10.65
162,Abu Samrah,SY,2021-04-08 00:35:55,35.3029,37.1841,61.56,38,99,6.31
163,Kermen,BG,2021-04-08 00:40:05,42.5,26.25,39.2,93,90,9.22
164,Colquiri,BO,2021-04-08 00:40:05,-17.4167,-67.1333,40.55,82,100,4.76
165,Hit,IQ,2021-04-08 00:40:06,33.6416,42.8251,72.46,25,100,6.55
166,Oktyabrskiy,RU,2021-04-08 00:35:48,54.4815,53.471,33.44,99,100,3.58
167,Awjilah,LY,2021-04-08 00:40:06,29.1081,21.2869,62.56,34,55,8.19
168,Atuona,PF,2021-04-08 00:33:42,-9.8,-139.0333,80.73,73,5,15.26
169,Hermanus,ZA,2021-04-08 00:33:28,-34.4187,19.2345,60.01,90,100,1.99
170,Herat,AF,2021-04-08 00:40:07,34.5,62.0,56.5,26,0,4.56
171,Mnogovershinnyy,RU,2021-04-08 00:40:07,53.9353,139.9242,25.79,87,100,7.94
172,Ahuimanu,US,2021-04-08 00:40:07,21.4447,-157.8378,78.8,68,75,16.11
173,Margate,GB,2021-04-08 00:32:47,51.3813,1.3862,39.0,52,6,11.07
174,Wagar,SD,2021-04-08 00:40:08,16.1525,36.2032,83.86,46,80,7.76
175,Basco,PH,2021-04-08 00:40:08,20.4487,121.9702,73.83,73,100,13.76
176,Bethel,US,2021-04-08 00:33:44,41.3712,-73.414,62.6,39,1,11.5
177,Tuktoyaktuk,CA,2021-04-08 00:33:32,69.4541,-133.0374,-4.0,71,20,6.91
178,Bathsheba,BB,2021-04-08 00:31:36,13.2167,-59.5167,78.8,65,20,11.5
179,Chokurdakh,RU,2021-04-08 00:34:14,70.6333,147.9167,-0.08,85,52,3.06
180,Cedar City,US,2021-04-08 00:40:09,37.6775,-113.0619,66.2,7,1,14.97
181,Cayenne,GF,2021-04-08 00:33:39,4.9333,-52.3333,75.2,100,75,2.3
182,Oussouye,SN,2021-04-08 00:35:04,12.485,-16.5469,75.2,94,0,2.3
183,Poum,NC,2021-04-08 00:34:52,-20.2333,164.0167,80.2,74,63,23.13
184,Gumia,IN,2021-04-08 00:40:10,23.7833,85.8167,81.16,40,0,0.94
185,Lavrentiya,RU,2021-04-08 00:33:45,65.5833,-171.0,-0.42,74,28,5.46
186,Mount Gambier,AU,2021-04-08 00:31:44,-37.8333,140.7667,66.2,59,100,12.66
187,Bandarbeyla,SO,2021-04-08 00:34:09,9.4942,50.8122,75.47,62,8,2.66
188,Trinidad,BO,2021-04-08 00:39:34,-14.8333,-64.9,84.2,79,75,2.71
189,Seoul,KR,2021-04-08 00:37:54,37.5683,126.9778,57.2,43,0,6.91
190,Bonavista,CA,2021-04-08 00:40:11,48.6499,-53.1147,37.99,100,96,4.61
191,Pavlovsk,RU,2021-04-08 00:40:11,50.4578,40.1081,46.36,88,43,10.92
192,Dawei,MM,2021-04-08 00:40:11,14.0833,98.2,79.66,78,100,1.83
193,Uige,AO,2021-04-08 00:40:12,-7.6087,15.0613,66.0,94,90,3.8
194,Richards Bay,ZA,2021-04-08 00:40:12,-28.783,32.0377,67.59,88,71,7.18
195,Shenjiamen,CN,2021-04-08 00:34:43,29.9576,122.298,53.29,80,100,15.26
196,Ponta Delgada,PT,2021-04-08 00:33:41,37.7333,-25.6667,60.8,82,75,18.41
197,Caravelas,BR,2021-04-08 00:34:02,-17.7125,-39.2481,73.76,86,100,10.94
198,Cheremukhovo,RU,2021-04-08 00:40:13,60.3484,59.9851,33.08,99,100,1.5
199,Lagoa,PT,2021-04-08 00:31:12,39.05,-27.9833,59.22,92,24,22.91
200,Zhangye,CN,2021-04-08 00:40:13,38.9342,100.4517,52.54,46,88,7.63
201,Nizamabad,IN,2021-04-08 00:40:13,18.6667,78.1167,83.44,30,50,7.67
202,Chilca,PE,2021-04-08 00:40:14,-12.5211,-76.7372,69.01,83,20,13.8
203,Challapata,BO,2021-04-08 00:40:14,-18.9,-66.7667,53.37,33,95,1.92
204,Saskylakh,RU,2021-04-08 00:33:43,71.9167,114.0833,5.11,94,100,6.6
205,Kamenka,RU,2021-04-08 00:35:29,51.3223,42.7678,42.01,91,82,11.86
206,Ixtapa,MX,2021-04-08 00:35:28,20.7,-105.2,77.0,78,75,13.8
207,Ola,RU,2021-04-08 00:40:15,59.5833,151.2833,19.96,67,4,5.68
208,Lafayette,US,2021-04-08 00:40:16,30.2335,-92.0668,73.99,78,90,10.36
209,Sao Filipe,CV,2021-04-08 00:40:16,14.8961,-24.4956,74.91,66,100,8.52
210,Athabasca,CA,2021-04-08 00:40:16,54.7169,-113.2854,51.8,50,100,10.36
